NOMBRE,D1,D,D3,AP,L3,L,BCH,DIENTES,P,M,K,N,S,H,PLANEADO,RANURADO,ESCUADRA,CAVIDAD
H1TE4RA2000N030HAR600M,20,20,18.8,30.00,60.00,115.00,6.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR050M,25,25,24,37.50,75.00,135.00,0.50,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR100M,25,25,24,37.50,75.00,135.00,1.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR200M,25,25,24,37.50,75.00,135.00,2.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR300M,25,25,24,37.50,75.00,135.00,3.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR400M,25,25,24,37.50,75.00,135.00,4.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4RA2500N038HAR600M,25,25,24,37.50,75.00,135.00,6.00,4.00,0,1,0,0,1,0,0,1,1,0
H1TE4SE0200N006HAM,2.00,6,2.00,6.00,—,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0250N006HAM,2.50,6,2.50,6.00,—,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0300N008HAM,3.00,6,2.82,8.00,16.00,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0350N010HAM,3.50,6,3.29,10.00,16.00,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0400N011HAM,4.00,6,3.76,11.00,16.00,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0500N013HAM,5.00,6,4.7,13.00,18.00,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0600N013HAM,6.00,6,5.64,13.00,18.00,57.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0800N016HAM,8.00,8,7.52,16.00,24.00,63.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE1000N022HAM,10.00,10,9.4,22.00,30.00,72.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE1200N026HAM,12.00,12,11.28,26.00,36.00,83.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE1400N026HAM,14.00,14,13.16,26.00,42.00,83.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE1600N032HAM,16.00,16,15.04,32.00,48.00,92.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE1800N035HAM,18.00,18,16.92,35.00,54.00,92.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE2000N038HAM,20.00,20,18.8,38.00,60.00,104.00,,4.0,1,1,1,0,0,0,0,1,0,1
H1TE4SE0200S004HBM,2,6,2,4.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0250S005HBM,2.5,6,2.5,5.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0300S006HBM,3,6,3,6.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0350S007HBM,3.5,6,3.5,7.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0400S008HBM,4,6,4,8.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0500S009HBM,5,6,5,9.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0600S010HBM,6,6,6,10.00,,54.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE0800S012HBM,8,8,8,12.00,,58.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE1000S014HBM,10,10,10,14.00,,66.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE1200S016HBM,12,12,12,16.00,,73.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE1400S018HBM,14,14,14,18.00,,75.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE1600S022HBM,16,16,16,22.00,,82.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE1800S024HBM,18,18,18,24.00,,92.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE2000S026HBM,20,20,20,26.00,,92.00,,4.00,1,1,1,0,0,0,0,1,1,0
H1TE4SE2500S030HBM,25,25,25,30.00,,121.00,,4.00,1,1,1,0,0,0,0,1,1,0
UCDE0400A5ASA,4,6,4,11.00,,55.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0400A5ASA,4,6,4,11.00,,55.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0500A5ASA,5,6,5,13.00,,57.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0500A5ASA,5,6,5,13.00,,57.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0600A5ASA,6,6,6,13.00,,57.00,,5.00,1,1,1,0,0,0,0,1,0,0
UCDE0600A5ASA,6,6,6,13.00,,57.00,,5.00,1,1,1,0,0,0,0,1,0,0
